0 1:0-2-6-1,0-4-6-1,0-4-14-1
12 1:12-2-6-1,12-4-6-1,12-5-6-1
12 2:12-2,12-4-6-2,12-5-6-2
12 3:12-4-3,12-7-4-3,12-4-18-16-3
12 4:12-4,12-7-4,12-2-0-4
12 5:12-5,12-2-6-5,12-4-6-5
12 6:12-2-6,12-4-6,12-5-6
12 7:12-7,12-4-7,12-2-0-4-7
12 8:12-2-0-9-8,12-4-0-9-8,12-2-0-19-8
12 9:12-2-0-9,12-4-0-9,12-7-4-0-9
12 10:12-4-10,12-7-4-10,12-4-6-21-10
12 11:12-11,12-4-14-11,12-7-4-14-11
12 13:12-2-6-13,12-4-6-13,12-5-6-13
12 14:12-4-14,12-11-14,12-7-4-14
12 15:12-2-0-15,12-4-0-15,12-2-6-21-15
12 16:12-4-3-16,12-4-18-16,12-7-4-3-16
12 17:12-5-17,12-2-6-21-17,12-5-6-21-17
12 18:12-4-18,12-7-4-18,12-4-6-21-18
12 19:12-2-0-19,12-4-0-19,12-7-4-0-19
12 20:12-4-3-20,12-2-0-9-20,12-4-0-9-20
12 21:12-2-6-21,12-4-6-21,12-5-6-21
13 0:13-6-2-0,13-6-4-0,13-1-6-4-0
13 1:13-1,13-6-1,13-6-21-14-1
13 2:13-6-2,13-1-6-2,13-6-5-12-2
13 3:13-6-4-3,13-1-6-4-3,13-1-14-4-3
13 4:13-6-4,13-1-6-4,13-1-14-4
13 5:13-6-5,13-1-6-5,13-6-4-12-5
13 6:13-6,13-1-6,13-1-14-4-6
13 7:13-6-4-7,13-1-6-4-7,13-6-2-12-7
13 8:13-6-2-0-9-8,13-6-4-0-9-8,13-6-2-0-19-8
13 9:13-6-2-0-9,13-6-4-0-9,13-1-6-4-0-9
13 10:13-6-4-10,13-6-21-10,13-1-6-4-10
13 11:13-1-14-11,13-6-1-14-11,13-6-2-12-11
13 12:13-6-2-12,13-6-4-12,13-6-5-12
13 14:13-1-14,13-6-1-14,13-6-4-14
13 15:13-6-21-15,13-1-6-21-15,13-6-2-0-15
13 16:13-6-4-3-16,13-6-21-18-16,13-6-4-18-16
13 17:13-6-5-17,13-6-21-17,13-1-6-5-17
13 18:13-6-4-18,13-6-21-18,13-1-6-4-18
13 19:13-6-2-0-19,13-6-4-0-19,13-1-6-4-0-19
13 20:13-6-4-3-20,13-1-6-4-3-20,13-6-4-0-9-20
13 21:13-6-21,13-1-6-21,13-1-14-21
14 0:14-4-0,14-21-15-0,14-4-6-2-0
14 1:14-1,14-4-6-1,14-21-6-1
14 2:14-1-6-2,14-4-0-2,14-11-12-2
14 3:14-4-3,14-1-6-4-3,14-4-18-16-3
14 4:14-4,14-1-6-4,14-11-12-4
14 5:14-21-17-5,14-1-6-5,14-21-6-5
14 6:14-1-6,14-4-6,14-21-6
14 7:14-4-7,14-11-12-7,14-4-12-7
14 8:14-4-0-9-8,14-4-0-19-8,14-4-3-20-9-8
14 9:14-4-0-9,14-21-15-0-9,14-4-3-20-9
14 10:14-4-10,14-21-10,14-4-6-21-10
14 11:14-11,14-4-12-11,14-4-7-12-11
14 12:14-4-12,14-11-12,14-4-7-12
14 13:14-1-13,14-4-6-13,14-1-6-13
14 15:14-21-15,14-4-0-15,14-1-6-21-15
14 16:14-4-3-16,14-21-18-16,14-4-18-16
14 17:14-21-17,14-1-6-21-17,14-21-6-5-17
14 18:14-4-18,14-21-18,14-4-6-21-18
14 19:14-4-0-19,14-21-15-0-19,14-4-6-2-0-19
14 20:14-4-3-20,14-4-0-9-20,14-1-6-4-3-20
14 21:14-21,14-1-6-21,14-4-10-21
15 0:15-0,15-21-6-4-0,15-21-10-4-0
15 1:15-21-6-1,15-21-14-1,15-0-2-6-1
15 2:15-0-2,15-21-6-2,15-0-4-12-2
15 3:15-0-4-3,15-21-6-4-3,15-0-9-20-3
15 4:15-0-4,15-21-6-4,15-21-10-4
15 5:15-21-6-5,15-21-17-5,15-0-2-6-5
15 6:15-21-6,15-0-2-6,15-0-4-6
15 7:15-0-4-7,15-21-6-4-7,15-0-2-12-7
15 8:15-0-9-8,15-0-19-8,15-21-6-4-0-9-8
15 9:15-0-9,15-0-19-8-9,15-21-6-4-0-9
15 10:15-21-10,15-0-4-10,15-21-6-4-10
15 11:15-21-14-11,15-0-2-12-11,15-0-4-12-11
15 12:15-0-2-12,15-0-4-12,15-21-6-4-12
15 13:15-21-6-13,15-0-2-6-13,15-21-14-1-13
15 14:15-21-14,15-0-4-14,15-21-6-4-14
15 16:15-21-18-16,15-0-4-3-16,15-0-4-18-16
15 17:15-21-17,15-21-6-5-17,15-0-2-6-21-17
15 18:15-21-18,15-0-4-18,15-21-6-4-18
15 19:15-0-19,15-0-9-8-19,15-21-6-4-0-19
15 20:15-0-9-20,15-0-4-3-20,15-21-6-4-3-20
15 21:15-21,15-0-2-6-21,15-0-4-6-21
16 0:16-3-4-0,16-18-4-0,16-3-20-9-0
16 1:16-3-4-6-1,16-18-4-6-1,16-3-4-14-1
16 2:16-3-4-0-2,16-18-4-12-2,16-3-4-6-2
16 3:16-3,16-18-4-3,16-18-21-6-4-3
16 4:16-3-4,16-18-4,16-18-21-6-4
16 5:16-3-4-12-5,16-18-4-12-5,16-3-4-6-5
16 6:16-3-4-6,16-18-4-6,16-18-21-6
16 7:16-3-4-7,16-18-4-7,16-3-4-12-7
16 8:16-3-20-9-8,16-18-4-0-9-8,16-3-4-0-9-8
16 9:16-3-20-9,16-18-4-0-9,16-3-4-0-9
16 10:16-3-4-10,16-18-4-10,16-18-21-10
16 11:16-3-4-12-11,16-18-4-12-11,16-3-4-14-11
16 12:16-3-4-12,16-18-4-12,16-3-4-7-12
16 13:16-3-4-6-13,16-18-4-6-13,16-18-21-6-13
16 14:16-3-4-14,16-18-4-14,16-18-21-14
16 15:16-18-21-15,16-3-4-0-15,16-18-4-0-15
16 17:16-18-21-17,16-3-4-6-21-17,16-18-4-6-21-17
16 18:16-18,16-3-4-18,16-3-4-14-21-18
16 19:16-3-4-0-19,16-18-4-0-19,16-3-20-9-0-19
16 20:16-3-20,16-18-4-3-20,16-3-4-0-9-20
16 21:16-18-21,16-3-4-6-21,16-18-4-6-21
17 0:17-21-15-0,17-5-6-2-0,17-21-6-4-0
17 1:17-5-6-1,17-21-6-1,17-21-14-1
17 2:17-5-6-2,17-21-6-2,17-5-12-2
17 3:17-5-6-4-3,17-21-6-4-3,17-5-12-4-3
17 4:17-5-6-4,17-21-6-4,17-5-12-4
17 5:17-5,17-21-6-5,17-21-10-4-12-5
17 6:17-5-6,17-21-6,17-5-12-2-6
17 7:17-5-12-7,17-21-6-4-7,17-5-6-4-7
17 8:17-21-15-0-9-8,17-21-15-0-19-8,17-21-6-4-0-9-8
17 9:17-21-15-0-9,17-5-6-2-0-9,17-21-6-4-0-9
17 10:17-21-10,17-5-6-21-10,17-21-6-4-10
17 11:17-5-12-11,17-21-14-11,17-5-6-1-14-11
17 12:17-5-12,17-21-6-4-12,17-5-6-2-12
17 13:17-5-6-13,17-21-6-13,17-5-6-1-13
17 14:17-21-14,17-5-6-21-14,17-21-6-4-14
17 15:17-21-15,17-5-6-21-15,17-21-6-4-0-15
17 16:17-21-18-16,17-5-6-21-18-16,17-21-6-4-3-16
17 18:17-21-18,17-5-6-21-18,17-21-6-4-18
17 19:17-21-15-0-19,17-5-6-2-0-19,17-21-6-4-0-19
17 20:17-5-6-4-3-20,17-21-6-4-3-20,17-5-12-4-3-20
17 21:17-21,17-5-6-21,17-5-12-4-10-21
18 0:18-4-0,18-21-15-0,18-4-6-2-0
18 1:18-4-6-1,18-21-6-1,18-4-14-1
18 2:18-4-0-2,18-21-6-2,18-4-6-2
18 3:18-4-3,18-16-3,18-21-6-4-3
18 4:18-4,18-16-3-4,18-21-6-4
18 5:18-4-6-5,18-21-6-5,18-4-12-5
18 6:18-4-6,18-21-6,18-4-0-2-6
18 7:18-4-7,18-4-12-7,18-16-3-4-7
18 8:18-4-0-9-8,18-4-0-19-8,18-4-3-20-9-8
18 9:18-4-0-9,18-16-3-20-9,18-4-3-20-9
18 10:18-4-10,18-21-10,18-4-6-21-10
18 11:18-4-12-11,18-21-14-11,18-4-14-11
18 12:18-4-12,18-4-7-12,18-16-3-4-12
18 13:18-4-6-13,18-21-6-13,18-4-14-1-13
18 14:18-4-14,18-21-14,18-4-6-21-14
18 15:18-21-15,18-4-0-15,18-4-6-21-15
18 16:18-16,18-4-3-16,18-21-6-4-3-16
18 17:18-21-17,18-4-10-21-17,18-21-6-5-17
18 19:18-4-0-19,18-21-15-0-19,18-4-6-2-0-19
18 20:18-4-3-20,18-16-3-20,18-4-0-9-20
18 21:18-21,18-4-10-21,18-4-6-21
19 0:19-0,19-8-9-0,19-8-9-20-3-4-0
19 1:19-0-2-6-1,19-0-4-6-1,19-0-4-14-1
19 2:19-0-2,19-8-9-0-2,19-0-4-12-2
19 3:19-0-4-3,19-8-9-20-3,19-0-9-20-3
19 4:19-0-4,19-8-9-0-4,19-0-2-6-4
19 5:19-0-2-12-5,19-0-4-6-5,19-0-2-6-5
19 6:19-0-2-6,19-0-4-6,19-0-15-21-6
19 7:19-0-4-7,19-0-2-12-7,19-0-4-12-7
19 8:19-8,19-0-9-8,19-0-4-3-20-9-8
19 9:19-0-9,19-8-9,19-0-4-3-20-9
19 10:19-0-4-10,19-0-15-21-10,19-8-9-0-4-10
19 11:19-0-2-12-11,19-0-4-12-11,19-0-4-14-11
19 12:19-0-2-12,19-0-4-12,19-0-4-7-12
19 13:19-0-2-6-13,19-0-4-6-13,19-0-2-6-1-13
19 14:19-0-4-14,19-0-15-21-14,19-8-9-0-4-14
19 15:19-0-15,19-8-9-0-15,19-0-2-6-21-15
19 16:19-0-4-3-16,19-0-4-18-16,19-0-9-20-3-16
19 17:19-0-15-21-17,19-0-2-6-21-17,19-0-4-6-21-17
19 18:19-0-4-18,19-0-15-21-18,19-8-9-0-4-18
19 20:19-0-9-20,19-8-9-20,19-0-4-3-20
19 21:19-0-15-21,19-0-2-6-21,19-0-4-6-21
20 0:20-9-0,20-3-4-0,20-9-8-19-0
20 1:20-3-4-6-1,20-3-4-14-1,20-9-0-2-6-1
20 2:20-9-0-2,20-3-4-0-2,20-3-4-6-2
20 3:20-3,20-9-0-4-3,20-9-8-19-0-4-3
20 4:20-3-4,20-9-0-4,20-3-16-18-4
20 5:20-3-4-6-5,20-3-4-12-5,20-9-0-2-12-5
20 6:20-3-4-6,20-9-0-2-6,20-9-0-4-6
20 7:20-3-4-7,20-9-0-4-7,20-3-4-12-7
20 8:20-9-8,20-9-0-19-8,20-3-4-0-9-8
20 9:20-9,20-3-4-0-9,20-3-16-18-4-0-9
20 10:20-3-4-10,20-9-0-4-10,20-3-16-18-4-10
20 11:20-3-4-12-11,20-3-4-14-11,20-9-0-2-12-11
20 12:20-3-4-12,20-9-0-2-12,20-3-4-7-12
20 13:20-3-4-6-13,20-9-0-2-6-13,20-3-4-14-1-13
20 14:20-3-4-14,20-9-0-4-14,20-3-16-18-4-14
20 15:20-9-0-15,20-3-4-0-15,20-9-8-19-0-15
20 16:20-3-16,20-3-4-18-16,20-9-0-4-3-16
20 17:20-3-4-10-21-17,20-9-0-15-21-17,20-3-4-6-21-17
20 18:20-3-4-18,20-3-16-18,20-9-0-4-18
20 19:20-9-0-19,20-9-8-19,20-3-4-0-19
20 21:20-3-4-10-21,20-9-0-15-21,20-3-16-18-21
21 0:21-15-0,21-6-4-0,21-10-4-0
21 1:21-6-1,21-14-1,21-6-13-1
21 2:21-6-2,21-15-0-2,21-6-5-12-2
21 3:21-6-4-3,21-10-4-3,21-14-4-3
21 4:21-6-4,21-10-4,21-14-4
21 5:21-6-5,21-17-5,21-6-4-12-5
21 6:21-6,21-10-4-6,21-17-5-6
21 7:21-6-4-7,21-10-4-7,21-14-4-7
21 8:21-15-0-9-8,21-15-0-19-8,21-6-4-0-9-8
21 9:21-15-0-9,21-6-4-0-9,21-10-4-0-9
21 10:21-10,21-6-4-10,21-14-4-10
21 11:21-14-11,21-6-4-14-11,21-14-4-12-11
21 12:21-6-2-12,21-14-11-12,21-6-4-12
21 13:21-6-13,21-14-1-13,21-6-1-13
21 14:21-14,21-6-4-14,21-10-4-14
21 15:21-15,21-6-4-0-15,21-10-4-0-15
21 16:21-18-16,21-6-4-18-16,21-18-4-3-16
21 17:21-17,21-6-5-17,21-10-4-6-5-17
21 18:21-18,21-6-4-18,21-10-4-18
21 19:21-15-0-19,21-6-4-0-19,21-10-4-0-19
21 20:21-18-16-3-20,21-6-4-3-20,21-18-4-3-20
